control1	control2	control3	tumour1	tumour2	tumour3
ACMSD	1.09927290708935	3.36563895982493	3.19137260800658	2.9115158148249	2.48343749839187	3.00016852285478
ACNATP	0	0	0	0	0	0
ACO1	10.850963501326	10.5553309392108	10.7921457254695	10.81209899044	11.191807405177	11.0782066424587
ACO2	11.6416449573705	11.4392733844637	11.421035244968	11.6941646679491	11.5090646178791	11.1739032803697
ACOD1	0	0	0	0	0	0
ACOT1	9.28000582841972	9.19507019575459	9.31132706898284	9.29749892848903	8.67373784461878	8.45792738561829
ACOT11	7.63645675489827	7.43543315750782	7.50316078870499	7.35833623743039	7.28077675698605	7.42507726253719
ACOT12	0.795048915074331	2.24585964050826	1.69747798025602	3.40813482951083	0	2.97469365041567
ACOT13	9.65119528752588	9.73562157194918	9.76642919275116	9.64285069423678	9.94619935653655	9.80418902633338
ACOT2	10.0997141097373	9.81854227926916	9.78040393148576	10.0505533351014	9.89708753255175	9.46147874030176
ACOT4	7.39440293018089	7.09856299458455	7.20912962771513	6.92965600842518	6.65027320072829	6.78339969711578
ACOT6	3.47877128801316	2.32506073357535	2.5868415147266	3.30373238769212	2.30971291154434	3.0070796391755
ACOT7	11.3696988839537	11.2748304255275	11.0700821201633	11.5199420168185	11.1016246705331	10.6119458404966
ACOT8	8.05221307038927	8.04243002181575	7.96857481978258	8.41770292521709	8.08668443184722	7.92472376421552
ACOT9	10.6851018001918	10.6824962235632	10.7201332211893	10.5511046861711	10.5835623284436	10.8124411677076
ACOX1	10.3082974862282	10.2869783651588	10.1904021561175	10.3926963554866	10.5178876948066	10.5555221605024
ACOX2	4.49189492679351	4.43700420821992	5.01093393324947	4.35835646689635	5.41511393175669	4.72388500534523
ACOX3	8.3331623577871	8.33189272917329	8.5616841283466	7.99449317953963	8.16383724187728	8.37720737038068
ACOXL	3.25395520229104	2.20404637474182	1.48695812112293	2.19945021065565	1.57673394520944	0
ACP1	10.5119215000908	10.4003937293997	10.4489666918563	10.5481680441714	10.4026425207962	10.4798241964487
ACP2	9.26498080210209	9.24514283592539	9.04367326858077	9.50074807241821	9.14792483559758	9.16085615456613
ACP3	2.98681612673143	1.59242682832446	2.59290172977463	2.31156593616377	0.995996627073578	1.59521764453552
ACP4	0.9924811170393	0	0	1.9902876612261	0.995996627073578	0
ACP5	8.50852598342501	6.47048709426909	5.17918319806408	6.13696615808012	7.54661373226427	8.12904253222194
ACP6	9.16305763077327	8.98716323811489	8.96592119901896	9.14105156884303	9.23239471144326	9.07116900353479
ACP7	7.50991497393115	7.62073071666327	6.61625882886376	6.72893383147414	6.80040484381352	6.78932492244541
ACR	2.35787664220938	1.10934183166188	1.34569228347606	0	0.558042381522563	0
ACRBP	2.86260346470474	1.12678799697569	2.43921397865517	3.05811584279415	3.1168698008858	3.21928334806308
ACRP1	0	1.00560186315918	0	0	1.5796221976596	1.0076981838437
ACRV1	3.19111465021033	4.07128430774211	3.29923325965243	3.96193860158261	3.75587618878031	2.75105213502679
ACSBG1	5.28163833536424	6.07827736093318	4.69602849783523	4.85180789734389	3.59833703307539	5.41333276239387
ACSBG2	1.64113529973026	1.61886120165223	1.65789373667749	0.657230603372959	2.24329566309662	0.667657610682821
ACSF2	8.98803361762133	9.11237115526982	8.96044908958748	9.21006689640065	9.12755957944539	8.90216735877508
ACSF3	8.97965149795828	8.66791301986162	8.60325728100829	8.82222816211137	8.51454607600486	8.18631452093392
ACSL1	12.2153328053992	12.1259110874471	12.1622182872529	12.2794479297421	12.3873619782095	12.3240069612556
ACSL3	14.2531359371137	14.5039182505239	14.4763994212946	14.0207890415817	14.0083472271133	14.0416243868411
ACSL3P1	0.9924811170393	0	0	1.57633254519192	0	1.0076981838437
ACSL4	11.7830195773561	11.854486787523	11.8545457778612	11.7264444867553	11.572909384672	11.7628494912631
ACSL5	4.75339399239256	3.69208212552317	4.36070152117746	4.94277988139737	3.89597948898215	4.88835686861749
ACSL6	3.18321227497784	4.88173694938781	5.06890159205897	4.92976178187968	3.68269914566962	3.48124184154641
ACSM1	0	0	0	0.993532377825115	0	0
ACSM2A	2.86699050637079	3.80051950842845	4.16195426295445	3.7048490950969	3.5673540580331	0
ACSM2B	4.21044706856266	3.60179225926101	3.63396745538095	3.70377741879355	4.32203369014509	4.44297211165662
ACSM3	5.8867810756564	5.52185054401674	5.86387057471523	5.55337154065365	5.68448623063011	5.87743246395435
ACSM4	0	0	0	0	0.995996627073578	0
ACSM5	1.36507626601922	2.66836800037322	1.99002305654124	1.69039985841079	1.93055127262831	0.492803638820807
ACSM5P1	0	0	0	0	0.995996627073578	0
ACSM6	0.842808991522898	1.38748903787266	1.31992014711154	0.843744161609815	1.71187806131645	1.72444839844911
ACSS1	10.0282136007036	10.0525944585874	10.0698921184891	10.2791948713092	10.0540355866098	10.0312912212561
ACSS2	11.3664592554428	11.6586625923434	11.1775331005656	10.323174066464	10.395141719917	9.75882229172475
ACSS3	6.33927015249817	6.65145954024775	6.51947927445672	6.95657793616802	6.52146249487828	6.73413019314856
ACTA1	0	1.98032334735706	0	2.07523704183985	1.55479208439163	0.98898131224246
ACTA2	10.621325355234	10.6789774764044	10.4924111545787	10.3603685378409	10.3563376952804	10.2066779658351
ACTB	15.4661778731621	15.4875463141146	15.5737224396462	15.4094332643502	15.4411407152358	15.5546841350656
ACTBL2	4.37796180946768	4.33255310444081	4.46852201361383	5.11669067940994	5.20165276632281	5.1848561673926
ACTBP1	0.9924811170393	0	1.59131737531809	0.993532377825115	0.995996627073578	0
ACTBP11	0	1.00560186315918	1.00476877830381	0.993532377825115	0.995996627073578	1.59521764453552
ACTBP12	0.9924811170393	0	0	0	0	0
ACTBP14	0	0	0	0	0	0
ACTBP15	0	0	0	0	0	1.0076981838437
ACTBP16	0	0	0	0	0	0
ACTBP2	2.30987900064274	1.00560186315918	0	0.993532377825115	0	1.0076981838437
ACTBP4	0	0	0	0	0.995996627073578	1.0076981838437
ACTBP6	0	0	0	0	0	0
ACTBP7	0	2.00839465896162	2.32955059221284	3.31026541752726	0.995996627073578	2.01153192637014
ACTBP8	0	0	1.00476877830381	0	0	1.0076981838437
ACTBP9	0	0	0	0	0	0
ACTC1	0	0	0.891273206377342	0	1.11840465460474	0
ACTE1P	0.9924811170393	1.59242682832446	1.00476877830381	1.9902876612261	0	0
ACTG1	15.8225417265809	15.718107578528	15.7414291806099	15.9019716384239	15.8095784048092	15.6968845792334
ACTG1P1	3.3083657635059	2.00839465896162	1.00476877830381	3.98784932574478	1.99399076698908	3.18358239094343
ACTG1P10	2.57240917043575	2.33088066483355	2.32955059221284	2.98866256222369	3.45214447562668	1.0076981838437
ACTG1P11	0	0	0	0.993532377825115	0	0
ACTG1P12	0.9924811170393	0	0	1.57633254519192	0	1.0076981838437
ACTG1P13	0	0	0	0	0	0
ACTG1P14	0.9924811170393	1.00560186315918	2.00714726931563	1.57633254519192	1.5796221976596	0
ACTG1P15	1.57492859013107	0	0	0	0	0
ACTG1P16	0	1.00560186315918	1.00476877830381	0.993532377825115	0.995996627073578	1.0076981838437
ACTG1P17	2.92098037124885	2.5236552116765	2.81203051776959	4.19133036409347	3.22213924919571	3.24405471585704
ACTG1P18	0	1.00560186315918	0	1.57633254519192	0	0
ACTG1P19	0	1.00560186315918	0	0	0	0
ACTG1P2	0	0	0	0.993532377825115	0	0
ACTG1P20	3.15653088592347	2.59428689149742	3.17839196223406	2.57416696603386	2.80048518025662	2.59777008069581
ACTG1P21	1.98870692952904	0	0	0	0	1.0076981838437
ACTG1P22	0	0	0	0	0	0
ACTG1P23	0	0	0	0	0.995996627073578	0
ACTG1P24	2.79444131524185	1.59242682832446	0	1.57633254519192	0	2.33422554876658
ACTG1P25	4.98539639660524	4.53425963641479	4.86717554514691	4.51116368403001	4.31431216340686	4.47409268354512
ACTG1P3	2.57240917043575	2.81694484048303	2.59290172977463	1.57633254519192	1.99399076698908	1.0076981838437
ACTG1P4	1.98870692952904	1.00560186315918	1.00476877830381	0	1.5796221976596	0
ACTG1P9	3.79335994551646	3.71076468895404	4.09642631445598	3.89479415138269	4.24033273435374	3.47339790571711
ACTG2	5.14284741887363	5.22425547529585	4.50829162454208	5.99591534062795	5.55664611671485	5.37517762593329
